Order_ID,Order_Date,Order_Time,City,Warehouse_ID,Product_ID,Product_Category,Product_Name,Price,Quantity,Stock_Available,Delivery_Partner,Delivery_Time_Minutes,Customer_Rating,Payment_Method,Revenue,Month,Day,Order_Year,Order_Month,Delivery_Speed,Stock_Status
QC1000,2025-04-08,16:47,Chennai,W3,P190,Bakery,Bread,79,5,26,Ravi,25,3.1,UPI,395,April,Tuesday,2025,4,Fast,In Stock
QC1001,2025-02-18,18:52,Mumbai,W2,P884,Frozen,Ice Cream,193,2,20,Karthik,20,3.1,COD,386,February,Tuesday,2025,2,Fast,In Stock
QC1002,2025-03-19,21:43,Chennai,W2,P500,Dairy,Milk 1L,118,4,33,Vikram,27,3.3,UPI,472,March,Wednesday,2025,3,Fast,In Stock
QC1003,2025-03-14,09:24,Bangalore,W6,P796,Bakery,Cake,61,5,37,Aman,15,3.6,UPI,305,March,Friday,2025,3,Fast,In Stock
QC1004,2025-04-21,08:56,Pune,W4,P138,Beverages,Energy Drink,41,5,46,Rahul,48,3.7,CARD,205,April,Monday,2025,4,Medium,In Stock
QC1005,2025-04-24,14:25,Hyderabad,W2,P502,Dairy,Butter,156,2,22,Ravi,44,4.0,UPI,312,April,Thursday,2025,4,Medium,In Stock
QC1006,2025-04-16,12:36,Bangalore,W2,P144,Bakery,Cake,112,2,11,Suresh,31,3.8,UPI,224,April,Wednesday,2025,4,Medium,Low Stock
QC1007,2025-04-23,12:54,Bangalore,W5,P856,Dairy,Curd,161,5,25,Rahul,22,4.3,COD,805,April,Wednesday,2025,4,Fast,In Stock
QC1008,2025-05-30,09:42,Pune,W5,P811,Beverages,Juice,167,5,6,Sameer,19,4.7,WALLET,835,May,Friday,2025,5,Fast,Low Stock
QC1009,2025-02-26,15:24,Mumbai,W1,P683,Dairy,Butter,139,4,0,Karthik,50,3.4,WALLET,556,February,Wednesday,2025,2,Medium,Low Stock
QC1010,2025-02-17,11:05,Mumbai,W5,P578,Frozen,Ice Cream,113,4,35,Rahul,42,3.9,COD,452,February,Monday,2025,2,Medium,In Stock
QC1011,2025-05-20,23:49,Bangalore,W6,P412,Dairy,Milk 1L,216,2,1,Rahul,43,3.7,CARD,432,May,Tuesday,2025,5,Medium,Low Stock
QC1012,2025-01-27,11:53,Chennai,W6,P970,Frozen,Ice Cream,163,1,10,Suresh,30,4.5,COD,163,January,Monday,2025,1,Medium,Low Stock
